country,category,item
Angola,Supplies to prevent illness or injury,Permethrin Permethrin is insect repellent for clothing. It may be needed if you spend a lot of time outdoors. Clothing can also be treated at home in advance.
Angola,Supplies to prevent illness or injury,Bed net For protection against insect bites while sleeping
Angola,Supplies to prevent illness or injury,Sunscreen (SPF 15 or greater) with UVA and UVB protection. See Sun Exposure.
Angola,Supplies to prevent illness or injury,Sunglasses and hat Wear for additional sun protection. A wide brim hat is preferred.
Angola,Supplies to prevent illness or injury,"Personal safety equipment Examples: child safety seats, bicycle helmets"
Angola,Supplies to prevent illness or injury,Earplugs
Angola,Supplies to prevent illness or injury,Latex condoms
Angola,First-aid kit,1% hydrocortisone cream
Angola,First-aid kit,Antifungal ointments
Angola,First-aid kit,Antibacterial ointments
Angola,First-aid kit,Antiseptic wound cleanser
Angola,First-aid kit,Aloe gel For sunburns
Angola,First-aid kit,Insect bite treatment Anti-itch gel or cream
Angola,First-aid kit,"Bandages Multiple sizes, gauze, and adhesive tape"
Angola,First-aid kit,Moleskin or molefoam for blisters
Angola,First-aid kit,Elastic/compression bandage wrap For sprains and strains
Angola,First-aid kit,Disposable gloves
Angola,First-aid kit,Digital thermometer
Angola,First-aid kit,Scissors and safety pins
Angola,First-aid kit,Cotton swabs (Q-Tips)
Angola,First-aid kit,Tweezers
Angola,First-aid kit,Eye drops
Angola,First-aid kit,Oral rehydration salts
Angola,Documents,Health insurance documents Health insurance card (your regular plan and/or supplemental travel health insurance plan) and copies of claim forms
Angola,Documents,"Proof of yellow fever vaccination If required for your trip, take your completed International Certificate of Vaccination or Prophylaxis card or medical waiver"
Angola,Documents,"Copies of all prescriptions Make sure prescriptions include generic names. Bring prescriptions for medicines, eye glasses/contacts, and other medical supplies."
Angola,Documents,"Contact card Carry a contact card containing the street addresses, phone numbers, and e-mail addresses of the following: Family member or close contact remaining in the United States Health care provider(s) at home Lodging at your destination Hospitals or clinics (including emergency services) in your destination US embassy or consulate in the destination country or countries"
Angola,Documents,Family member or close contact remaining in the United States
Angola,Documents,Health care provider(s) at home
Angola,Documents,Lodging at your destination
Angola,Documents,Hospitals or clinics (including emergency services) in your destination
Angola,Documents,US embassy or consulate in the destination country or countries
Anguilla,Prescription medicines,Your prescriptions
Anguilla,Prescription medicines,Travelers' diarrhea antibiotic
Anguilla,Prescription medicines,Suture/syringe kit Kit is for use by local health care provider & requires a letter from your doctor on letterhead stationery
Anguilla,Prescription medicines,Altitude sickness medicine
Anguilla,Medical supplies,Glasses Consider packing spare glasses in case yours are damaged
Anguilla,Medical supplies,Contact lenses Consider packing spare contacts in case yours are damaged
Anguilla,Medical supplies,"Needles or syringes (for diabetes, for example) Requires a letter from your doctor on letterhead stationery"
Anguilla,Medical supplies,Suture kit Kit is for use by local health care provider & requires a letter from your doctor on letterhead stationery
Anguilla,Medical supplies,Diabetes testing supplies
Anguilla,Medical supplies,Insulin
Anguilla,Medical supplies,Inhalers
Anguilla,Medical supplies,Epinephrine auto-injectors (EpiPens)
Anguilla,Medical supplies,Medical alert bracelet or necklace
Anguilla,Over-the-counter medicines,Antacid
Anguilla,Over-the-counter medicines,Diarrhea medicine Examples: loperamide [Imodium] or bismuth subsalicylate [Pepto-Bismol]
Anguilla,Over-the-counter medicines,Antihistamine
Anguilla,Over-the-counter medicines,Motion sickness medicine
Anguilla,Over-the-counter medicines,Cough drops
Anguilla,Over-the-counter medicines,Cough suppression/expectorant
Anguilla,Over-the-counter medicines,Decongestant
Anguilla,Over-the-counter medicines,"Medicine for pain and fever Examples: acetaminophen, aspirin, or ibuprofen"
Anguilla,Over-the-counter medicines,Mild laxative
Anguilla,Over-the-counter medicines,Mild sedative or other sleep aid
Anguilla,Over-the-counter medicines,Saline nose spray
Anguilla,Supplies to prevent illness or injury,Hand sanitizer or wipes Alcohol-based hand sanitizer containing at least 60% alcohol or antibacterial hand wipes
Anguilla,Supplies to prevent illness or injury,Water purification tablets See CDC recommendations: Water Disinfection.
Anguilla,Supplies to prevent illness or injury,Insect repellent Select an insect repellent based on CDC recommendations: Avoid Bug Bites
Anguilla,Supplies to prevent illness or injury,Permethrin Permethrin is insect repellent for clothing. It may be needed if you spend a lot of time outdoors. Clothing can also be treated at home in advance.
Anguilla,Supplies to prevent illness or injury,Sunscreen (SPF 15 or greater) with UVA and UVB protection. See Sun Exposure.
Anguilla,Supplies to prevent illness or injury,Sunglasses and hat Wear for additional sun protection. A wide brim hat is preferred.
Anguilla,Supplies to prevent illness or injury,"Personal safety equipment Examples: child safety seats, bicycle helmets"
Anguilla,Supplies to prevent illness or injury,Earplugs
Anguilla,Supplies to prevent illness or injury,Latex condoms
Anguilla,First-aid kit,1% hydrocortisone cream
Anguilla,First-aid kit,Antifungal ointments
Anguilla,First-aid kit,Antibacterial ointments
Anguilla,First-aid kit,Antiseptic wound cleanser
Anguilla,First-aid kit,Aloe gel For sunburns
Anguilla,First-aid kit,Insect bite treatment Anti-itch gel or cream
Anguilla,First-aid kit,"Bandages Multiple sizes, gauze, and adhesive tape"
Anguilla,First-aid kit,Moleskin or molefoam for blisters
Anguilla,First-aid kit,Elastic/compression bandage wrap For sprains and strains
Anguilla,First-aid kit,Disposable gloves
Anguilla,First-aid kit,Digital thermometer
Anguilla,First-aid kit,Scissors and safety pins
Anguilla,First-aid kit,Cotton swabs (Q-Tips)
Anguilla,First-aid kit,Tweezers
Anguilla,First-aid kit,Eye drops
Anguilla,First-aid kit,Oral rehydration salts
Anguilla,Documents,Health insurance documents Health insurance card (your regular plan and/or supplemental travel health insurance plan) and copies of claim forms
Anguilla,Documents,"Proof of yellow fever vaccination If required for your trip, take your completed International Certificate of Vaccination or Prophylaxis card or medical waiver"
