"country","href","full_url"
"Reunion","/travel/destinations/traveler/none/reunion","https://wwwnc.cdc.gov/travel/destinations/traveler/none/reunion"
"Romania","/travel/destinations/traveler/none/romania","https://wwwnc.cdc.gov/travel/destinations/traveler/none/romania"
"Russia","/travel/destinations/traveler/none/russia","https://wwwnc.cdc.gov/travel/destinations/traveler/none/russia"
"Rwanda","/travel/destinations/traveler/none/rwanda","https://wwwnc.cdc.gov/travel/destinations/traveler/none/rwanda"
"Saba","/travel/destinations/traveler/none/saba","https://wwwnc.cdc.gov/travel/destinations/traveler/none/saba"
"Saint Barthelemy","/travel/destinations/traveler/none/saint-barthelemy","https://wwwnc.cdc.gov/travel/destinations/traveler/none/saint-barthelemy"
"Usvirgin Islands","/travel/destinations/traveler/none/usvirgin-islands","https://wwwnc.cdc.gov/travel/destinations/traveler/none/usvirgin-islands"
"Saint Helena","/travel/destinations/traveler/none/saint-helena","https://wwwnc.cdc.gov/travel/destinations/traveler/none/saint-helena"
"St Kitts and Nevis","/travel/destinations/traveler/none/st-kitts-and-nevis","https://wwwnc.cdc.gov/travel/destinations/traveler/none/st-kitts-and-nevis"
"Saint Lucia","/travel/destinations/traveler/none/saint-lucia","https://wwwnc.cdc.gov/travel/destinations/traveler/none/saint-lucia"
"Saint Martin","/travel/destinations/traveler/none/saint-martin","https://wwwnc.cdc.gov/travel/destinations/traveler/none/saint-martin"
"Saint Pierre and Miquelon","/travel/destinations/traveler/none/saint-pierre-and-miquelon","https://wwwnc.cdc.gov/travel/destinations/traveler/none/saint-pierre-and-miquelon"
"Samoa","/travel/destinations/traveler/none/samoa","https://wwwnc.cdc.gov/travel/destinations/traveler/none/samoa"
"San Marino","/travel/destinations/traveler/none/san-marino","https://wwwnc.cdc.gov/travel/destinations/traveler/none/san-marino"
"Sao Tome and Principe","/travel/destinations/traveler/none/sao-tome-and-principe","https://wwwnc.cdc.gov/travel/destinations/traveler/none/sao-tome-and-principe"
"Saudi Arabia","/travel/destinations/traveler/none/saudi-arabia","https://wwwnc.cdc.gov/travel/destinations/traveler/none/saudi-arabia"
"Senegal","/travel/destinations/traveler/none/senegal","https://wwwnc.cdc.gov/travel/destinations/traveler/none/senegal"
"Serbia","/travel/destinations/traveler/none/serbia","https://wwwnc.cdc.gov/travel/destinations/traveler/none/serbia"
"Seychelles","/travel/destinations/traveler/none/seychelles","https://wwwnc.cdc.gov/travel/destinations/traveler/none/seychelles"
"Sierra Leone","/travel/destinations/traveler/none/sierra-leone","https://wwwnc.cdc.gov/travel/destinations/traveler/none/sierra-leone"
"Singapore","/travel/destinations/traveler/none/singapore","https://wwwnc.cdc.gov/travel/destinations/traveler/none/singapore"
"Sint Eustatius","/travel/destinations/traveler/none/sint-eustatius","https://wwwnc.cdc.gov/travel/destinations/traveler/none/sint-eustatius"
"Sint Maarten","/travel/destinations/traveler/none/sint-maarten","https://wwwnc.cdc.gov/travel/destinations/traveler/none/sint-maarten"
"Slovakia","/travel/destinations/traveler/none/slovakia","https://wwwnc.cdc.gov/travel/destinations/traveler/none/slovakia"
"Slovenia","/travel/destinations/traveler/none/slovenia","https://wwwnc.cdc.gov/travel/destinations/traveler/none/slovenia"
"Solomon Islands","/travel/destinations/traveler/none/solomon-islands","https://wwwnc.cdc.gov/travel/destinations/traveler/none/solomon-islands"
"Somalia","/travel/destinations/traveler/none/somalia","https://wwwnc.cdc.gov/travel/destinations/traveler/none/somalia"
"South Africa","/travel/destinations/traveler/none/south-africa","https://wwwnc.cdc.gov/travel/destinations/traveler/none/south-africa"
"South Georgia South Sandwich Islands","/travel/destinations/traveler/none/south-georgia-south-sandwich-islands","https://wwwnc.cdc.gov/travel/destinations/traveler/none/south-georgia-south-sandwich-islands"
"South Korea","/travel/destinations/traveler/none/south-korea","https://wwwnc.cdc.gov/travel/destinations/traveler/none/south-korea"
"South Sudan","/travel/destinations/traveler/none/south-sudan","https://wwwnc.cdc.gov/travel/destinations/traveler/none/south-sudan"
"Spain","/travel/destinations/traveler/none/spain","https://wwwnc.cdc.gov/travel/destinations/traveler/none/spain"
"Sri Lanka","/travel/destinations/traveler/none/sri-lanka","https://wwwnc.cdc.gov/travel/destinations/traveler/none/sri-lanka"
"Sudan","/travel/destinations/traveler/none/sudan","https://wwwnc.cdc.gov/travel/destinations/traveler/none/sudan"
"Suriname","/travel/destinations/traveler/none/suriname","https://wwwnc.cdc.gov/travel/destinations/traveler/none/suriname"
"Sweden","/travel/destinations/traveler/none/sweden","https://wwwnc.cdc.gov/travel/destinations/traveler/none/sweden"
"Switzerland","/travel/destinations/traveler/none/switzerland","https://wwwnc.cdc.gov/travel/destinations/traveler/none/switzerland"
"Syria","/travel/destinations/traveler/none/syria","https://wwwnc.cdc.gov/travel/destinations/traveler/none/syria"
"Taiwan","/travel/destinations/traveler/none/taiwan","https://wwwnc.cdc.gov/travel/destinations/traveler/none/taiwan"
"Tajikistan","/travel/destinations/traveler/none/tajikistan","https://wwwnc.cdc.gov/travel/destinations/traveler/none/tajikistan"
"Tanzania","/travel/destinations/traveler/none/tanzania","https://wwwnc.cdc.gov/travel/destinations/traveler/none/tanzania"
"Thailand","/travel/destinations/traveler/none/thailand","https://wwwnc.cdc.gov/travel/destinations/traveler/none/thailand"
"East Timor","/travel/destinations/traveler/none/east-timor","https://wwwnc.cdc.gov/travel/destinations/traveler/none/east-timor"
"Trinidad and Tobago","/travel/destinations/traveler/none/trinidad-and-tobago","https://wwwnc.cdc.gov/travel/destinations/traveler/none/trinidad-and-tobago"
"Togo","/travel/destinations/traveler/none/togo","https://wwwnc.cdc.gov/travel/destinations/traveler/none/togo"
"Tokelau","/travel/destinations/traveler/none/tokelau","https://wwwnc.cdc.gov/travel/destinations/traveler/none/tokelau"
"Tonga","/travel/destinations/traveler/none/tonga","https://wwwnc.cdc.gov/travel/destinations/traveler/none/tonga"
"Tunisia","/travel/destinations/traveler/none/tunisia","https://wwwnc.cdc.gov/travel/destinations/traveler/none/tunisia"
"Turkey","/travel/destinations/traveler/none/turkey","https://wwwnc.cdc.gov/travel/destinations/traveler/none/turkey"
